"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
11,"1","2024-02-13T05:55:47.185087Z",11,"",4.546,"粉丝向电影+全明星阵容，还是三部曲里的第1.5部续集，直接导致细节梗太多，每个角色都要照顾以至于顾不上故事节奏，叙事还要照顾到承上启下，结果整体都有点怪怪的。","2024-02-13T05:55:47.185087Z"
12,"1","2024-02-13T05:55:52.409956Z",12,"",4.899,"一碗好吃的甜口的八宝粥，需要将江米、红豆、大枣等用文火慢慢熬煮。它可以根据个人喜好放很多的谷类也好豆类也罢，而且也未必非得是八样。但往锅里放火腿、贝壳、甚至臭豆腐…那就不再叫八宝粥而叫杂烩。只是我们喜欢的是这个牌子的八宝粥。","2024-02-13T05:55:52.409956Z"
13,"1","2024-02-13T05:56:13.598687Z",13,"[{""start"":6,""end"":8,""text"":""台灣"",""labels"":[""地址""]},{""start"":12,""end"":14,""text"":""韩国"",""labels"":[""地址""]},{""start"":29,""end"":32,""text"":""都敏俊"",""labels"":[""姓名""]}]",20.841,"4/22看的台灣搶映。有韩国元素，为啥分分钟觉得片子里有个都敏俊呢…剪辑有点混，配乐不错啦！影城还有贴心的彩蛋提醒。片尾是說阿凡達也加入了嗎。沒有GP不幸福。那個人跟超人有聯繫嗎？看的日新威秀IMAX 3D，17：25都是满场","2024-02-13T05:56:13.598687Z"
14,"1","2024-02-13T05:56:43.673973Z",14,"[{""start"":59,""end"":62,""text"":""黑寡妇"",""labels"":[""姓名""]},{""start"":63,""end"":66,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":91,""end"":93,""text"":""猩红"",""labels"":[""姓名""]},{""start"":93,""end"":95,""text"":""快银"",""labels"":[""姓名""]},{""start"":95,""end"":97,""text"":""幻视"",""labels"":[""姓名""]}]",29.685,"特效场面完胜《逆转未来》，近八成的狂轰乱炸，只是一些剪辑节奏的拿捏不够，导致全片文武戏块略微失衡，没有第一部那么酣畅。黑寡妇和绿巨人的暗生的情愫是最闪瞎眼的桥段，二人怎么看都不搭噶。猩红快银幻视的加入虽然更为激昂热血，但也有一种老牌英雄退位让贤的悲壮感。一出硝烟弥漫的嘉年华会","2024-02-13T05:56:43.673973Z"
15,"1","2024-02-13T05:56:49.376261Z",15,"",5.396,"复联基本上是在往情景喜剧的路线上拍了，每个人固定性格，每集一个特定情景来展开性格；本集的亮点是打斗的画面，画面的构图有很强的漫画感，时不时有四五个人出现在同一镜头中，同一运动方向，或分散四五个运动方向，甚至在此时会有一个慢动作，造成漫画中占一整页的大画面的感觉，还蛮漂亮。","2024-02-13T05:56:49.376261Z"
16,"1","2024-02-13T05:56:51.261077Z",16,"",1.537,"看腻了这些打来打去的烂片","2024-02-13T05:56:51.261077Z"
17,"1","2024-02-13T05:57:35.860151Z",17,"[{""start"":13,""end"":16,""text"":""钢铁侠"",""labels"":[""姓名""]},{""start"":17,""end"":20,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":31,""end"":34,""text"":""黑寡妇"",""labels"":[""姓名""]},{""start"":36,""end"":39,""text"":""刘胡兰"",""labels"":[""姓名""]}]",44.259,"剧情看得人昏昏欲睡，打戏就钢铁侠对绿巨人那场好看。最后雕塑版的黑寡妇神似刘胡兰。","2024-02-13T05:57:35.860151Z"
18,"1","2024-02-13T05:58:00.769200Z",18,"[{""start"":20,""end"":23,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":25,""end"":28,""text"":""反浩克"",""labels"":[""姓名""]},{""start"":28,""end"":31,""text"":""钢铁侠"",""labels"":[""姓名""]},{""start"":88,""end"":90,""text"":""奥创"",""labels"":[""姓名""]}]",24.529,"还是很过瘾的，差不多是从头打到尾。中间的绿巨人VS反浩克钢铁侠以及结尾大战都非常刺激！IMAX还是最好的选择。不过总体感觉不如复联第一部，文戏有点乱，角色太多缺乏重点用力平均。奥创显得不够牛X，有气场没能耐，不像能灭复联的。三星半。我认为《美国队长3：内战》会比复联2好看！","2024-02-13T05:58:00.770129Z"
19,"1","2024-02-13T05:58:02.448460Z",19,"",1.349,"简直看不下去","2024-02-13T05:58:02.448460Z"
20,"1","2024-02-13T05:58:06.558857Z",20,"",3.753,"绝逼不质疑尾灯的导演和编剧水平","2024-02-13T05:58:06.558857Z"
21,"1","2024-02-13T05:58:10.134807Z",21,"",3.158,"在一个系列里起到承前启后的作用，但就单部而言，人物线索编排过密，缺乏集聚效果。","2024-02-13T05:58:10.134807Z"
22,"1","2024-02-13T05:58:12.854850Z",22,"",2.367,"越是一本正经，就是越是无趣。个个死不了，撕了扯了砸了死了的，你也不关心。全程梦游。","2024-02-13T05:58:12.854850Z"
23,"1","2024-02-13T05:58:33.398389Z",23,"[{""start"":101,""end"":103,""text"":""绿巨"",""labels"":[""姓名""]},{""start"":103,""end"":105,""text"":""黑寡"",""labels"":[""姓名""]},{""start"":113,""end"":115,""text"":""快银"",""labels"":[""姓名""]}]",20.168,"“一个没有黑暗面的人不值得信任。” 第二部剥去冗长的铺垫，开场即高潮、一直到结束，会有人觉得只剩动作特技，不过我还蛮吃这一套。联盟阵营“葫芦兄弟、八仙过海”式各显神通依然燃爆；“我有更好的理由不再生气”绿巨黑寡激萌的感情支线；快银兄妹的同情牌…4.27@台北日新威秀影城","2024-02-13T05:58:33.398389Z"
24,"1","2024-02-13T06:01:57.025029Z",24,"[{""start"":27,""end"":29,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":31,""end"":33,""text"":""美队"",""labels"":[""姓名""]},{""start"":34,""end"":36,""text"":""雷神"",""labels"":[""姓名""]},{""start"":46,""end"":49,""text"":""钢铁侠"",""labels"":[""姓名""]},{""start"":62,""end"":65,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":74,""end"":77,""text"":""黑寡妇"",""labels"":[""姓名""]},{""start"":93,""end"":96,""text"":""红女巫"",""labels"":[""姓名""]},{""start"":107,""end"":109,""text"":""灭霸"",""labels"":[""姓名""]}]",37.976,"硬要凹出剧情内涵来的超级英雄电影让人醉。这一集的男一是鹰眼吧。美队和雷神都被塑造成了二傻子。钢铁侠依旧是那个让人熟悉的混账。绿巨人根本没有找到自我。黑寡妇倒是爆了自己的历史。喜欢新出现的红女巫。最让人感慨的是彩蛋里灭霸无奈的脸。#影评写这么碎，对自己也是不满意的#没有LOKI差评！","2024-02-13T06:01:57.025029Z"
25,"1","2024-02-13T06:02:04.352222Z",25,"[{""start"":9,""end"":11,""text"":""澳洲"",""labels"":[""地址""]}]",6.931,"一般般，然后为什么澳洲电影院的爆米花是咸的！！！！！","2024-02-13T06:02:04.352222Z"
26,"1","2024-02-13T06:02:11.497112Z",26,"",6.806,"不說人話染了一身抖包袱的惡習 劇情也就那樣 因為一到文戲我就撐不住想睡 睡了八遍再看發就不知道他們在打什麼了……也就是說不是迷妹真的沒法看這種首映 片尾还有人民英雄纪念雕塑 當然了特效啥的是很牛逼 到咣咣咣開砸就能醒 等二刷","2024-02-13T06:02:11.497112Z"
27,"1","2024-02-13T06:02:20.083575Z",27,"[{""start"":62,""end"":64,""text"":""洛基"",""labels"":[""姓名""]}]",8.3,"真的是全程无尿点。漫威在拍了这么多系列片之后再拿捏妇联2真是得心应手 笑点爆发点齐飞 拿锤子的哽太伤人 233 唯一遗憾 没洛基","2024-02-13T06:02:20.083575Z"
28,"1","2024-02-13T06:02:25.764707Z",28,"",5.346,"属于超级英雄的春晚，角色如走马灯一样出场。眼花缭乱的同时却没办法给人留下太深印象。这部内容实在太多了，这么多角色，各有黑暗历史，又为之后铺垫，弄得每个角色都很单薄。好在动作场面多，开场长镜头打斗还不错。看过也就看过了，没什么回味。几乎没有一场戏会让人觉得很嗨，很热血。","2024-02-13T06:02:25.764707Z"
29,"1","2024-02-13T06:02:31.529641Z",29,"",5.425,"超愉悦以及超满足。在历经了第一阶段比漫画更普世的设定融合之后，发展到#AoU#居然出现了不少传统科幻的哲思。乔斯尾灯的诉求一目了然：这真的不仅仅只是超级英雄们的情景喜剧而已。so，漫威有这样的良心之人，是漫威的荣幸。（默默给DC烧纸）","2024-02-13T06:02:31.529641Z"
30,"1","2024-02-13T06:02:33.884563Z",30,"",1.966,"漫威编剧实在是脑洞太大了。。。而且没有loki。。。","2024-02-13T06:02:33.884563Z"
31,"1","2024-02-13T06:02:38.240035Z",31,"[{""start"":3,""end"":5,""text"":""洛基"",""labels"":[""姓名""]}]",4.026,"没有了洛基这个小基仔真是觉得即墨如雪啊","2024-02-13T06:02:38.240035Z"
32,"1","2024-02-13T06:02:42.364627Z",32,"",3.775,"说实话其实剧情就那样吧，非漫威粉看着可能有的地方会get不到G点吧。（其实漫威卖的不是剧情而是人物和世界观呀，漫威宇宙棒棒哒）但对于漫威粉来说真是全程高能+IMAX燃爆啊！#漫威大法好#","2024-02-13T06:02:42.364627Z"
33,"1","2024-02-13T06:02:44.293759Z",33,"",1.57,"昏昏欲睡 一盘散沙","2024-02-13T06:02:44.293759Z"
34,"1","2024-02-13T06:02:51.280630Z",34,"",6.657,"故事比第一部沉重，但这并不代表它深刻，基本上是非常杂乱且肤浅，原本不错的娱乐性也丢了。人物太多线索太多，每一处都像挠痒痒一样一笔带过，每一处都没挠痛快，自然观影体验也是乱七八糟，没有一处让人真正走心的。漫威宇宙拍到这基本上很难再给人带来惊喜了，严重审美疲劳。","2024-02-13T06:02:51.280630Z"
35,"1","2024-02-13T06:02:59.040823Z",35,"[{""start"":5,""end"":7,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":9,""end"":12,""text"":""绿巨人"",""labels"":[""姓名""]}]",7.375,"""结局就差寡姐握着绿巨人的手说：”我的意中人是一个盖世英雄，有一天他会turn green来救我，我猜中了这开头，没猜中这结局......""""""","2024-02-13T06:02:59.040823Z"
36,"1","2024-02-13T06:03:04.103634Z",36,"[{""start"":22,""end"":24,""text"":""奥创"",""labels"":[""姓名""]}]",4.676,"漫威粉勿喷，真感觉比第一部差了些火候。没想到奥创竟然这么弱，出来失望之极。。。","2024-02-13T06:03:04.103634Z"
37,"1","2024-02-13T06:03:07.564362Z",37,"[{""start"":0,""end"":2,""text"":""奥创"",""labels"":[""姓名""]}]",3.081,"奥创设定太差。","2024-02-13T06:03:07.564362Z"
38,"1","2024-02-13T06:03:15.102763Z",38,"",7.175,"""Together. Like an old man said, together. Worthy!  这片果然“完完全全是Joss”。笑点密集，各种宅内涵。唯一遗憾为了片长的删减。好想高唱复联动画EMH主题曲Forever fight as one，那歌词完全对应这部电影。 【Joss Whedon is worthy!Joss Whedon have got no string!】""","2024-02-13T06:03:15.102763Z"
39,"1","2024-02-13T06:03:31.975144Z",39,"[{""start"":101,""end"":103,""text"":""浩克"",""labels"":[""姓名""]},{""start"":115,""end"":117,""text"":""奥创"",""labels"":[""姓名""]},{""start"":137,""end"":139,""text"":""雷神"",""labels"":[""姓名""]}]",16.496,"总体来说没有达到第一部想让人立马二刷的体验，搞笑和燃度都有就是不够劲，应了续集电影的疲软定律。出场人物多到让人眼花撩乱，不过依然个个鲜明，Jarvis和Vison合体很惊艳，双胞胎戏份不多，widow和浩克的感情戏是最柔软的时刻，奥创存在感略低，妇联内斗戏不够激烈，队长脏话雷神锤子笑话贯穿始终。","2024-02-13T06:03:31.975144Z"
40,"1","2024-02-13T06:04:22.406501Z",40,"[{""start"":59,""end"":61,""text"":""队长"",""labels"":[""姓名""]},{""start"":62,""end"":64,""text"":""锤哥"",""labels"":[""姓名""]},{""start"":83,""end"":85,""text"":""女巫"",""labels"":[""姓名""]},{""start"":136,""end"":138,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":139,""end"":141,""text"":""女巫"",""labels"":[""姓名""]}]",49.991,"一刷归来一本满足。PB真的全队最帅，刚出场时苏到不行！JS演得最活，感觉真人就在眼前，一把声音就把全场的气氛给震摄了！队长和锤哥的配合很惊艳！Olsen妹子超超超灵，女巫塑造得好。Joss给剧本注入了很多传统科幻的东西，笑点和宅梗都非常多！现在最期待的就是导演加长剪辑了！鹰眼对女巫的话有看哭","2024-02-13T06:04:22.406501Z"
41,"1","2024-02-13T06:04:32.839951Z",41,"",10.036,"胸大无脑式的超级英雄无基腐与逗逼救场显然乏味许多，观众要开始厌烦漫威大法了，没啥创意的打斗与爆炸除了带来视觉疲劳还有什么？镜头语言为零，像电视剧，不如《美队2》的手持有感觉。尾灯大神要想想新招了，不然下坡路就在眼前...重点：你们在第几分第几秒见到我女神了？？麻烦请告知！感觉被骗了。","2024-02-13T06:04:32.839951Z"
42,"1","2024-02-13T06:04:34.453869Z",42,"",1.187,"感覺不到任何感情","2024-02-13T06:04:34.453869Z"
43,"1","2024-02-13T06:04:55.459190Z",43,"[{""start"":59,""end"":62,""text"":""猩红女"",""labels"":[""姓名""]},{""start"":63,""end"":65,""text"":""快银"",""labels"":[""姓名""]},{""start"":72,""end"":74,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":79,""end"":82,""text"":""黑寡妇"",""labels"":[""姓名""]},{""start"":82,""end"":85,""text"":""绿巨人"",""labels"":[""姓名""]}]",20.633,"跟笑点满满，热血高能的前作相比，这一部平庸太多。讲述超级英雄的黑暗面却也没有进行深挖，主角们都透露出一丝无力感，反倒是猩红女和快银成为最大看点，鹰眼的家庭戏和黑寡妇绿巨人的爱情戏也让人提不起精神，打斗方面也远远不如《美队2》的凌厉剪辑好看。","2024-02-13T06:04:55.459190Z"
44,"1","2024-02-13T06:05:00.108713Z",44,"",4.233,"挺没意思的，特别疲劳，而且3d几乎没效果，不建议去电影院烧钱了。看来只有Xmen才能拯救Avengers系列了","2024-02-13T06:05:00.108713Z"
45,"1","2024-02-13T06:05:02.542144Z",45,"",2.083,"什么破烂反派，毫无戏剧冲突能消耗两个多小时生命，还强加爱情戏。脑残片好圈钱倒是真的。","2024-02-13T06:05:02.542144Z"
46,"1","2024-02-13T06:05:06.877575Z",46,"",3.954,"请漫威华丽地滚出电影界！每年都炮制出几部毫无营养千篇一律的流水线电影骗票房，刺激各种投机并扼杀原创电影的热情，简直就是电影业的祸害和毒瘤！","2024-02-13T06:05:06.877575Z"
47,"1","2024-02-13T06:05:12.139377Z",47,"[{""start"":23,""end"":25,""text"":""奥创"",""labels"":[""姓名""]}]",4.867,"我。。。居然。。。没看懂。。。只觉得三个光束打奥创好燃，以及快银也很顺眼而且口音好喜感","2024-02-13T06:05:12.139377Z"
48,"1","2024-02-13T06:05:18.459471Z",48,"[{""start"":2,""end"":7,""text"":""乔斯·韦登"",""labels"":[""姓名""]}]",5.915,"跪求乔斯·韦登回去弄“螢火蟲”，別再搞這些沒什麼營養的漫威大片。","2024-02-13T06:05:18.459471Z"
49,"1","2024-02-13T06:05:26.379019Z",49,"[{""start"":0,""end"":3,""text"":""刘大勇"",""labels"":[""姓名""]},{""start"":3,""end"":6,""text"":""贾秀琰"",""labels"":[""姓名""]}]",7.554,"刘大勇贾秀琰师徒真是狙击资本主义巨制界的先锋","2024-02-13T06:05:26.379019Z"
50,"1","2024-02-13T06:05:29.500923Z",50,"",2.759,"超级英雄们怎么就那么没事干啊，没有坏人打了就自己造一个出来，打完了还是英雄，这他妈不是钓鱼执法吗……","2024-02-13T06:05:29.500923Z"
51,"1","2024-02-13T06:05:35.780142Z",51,"[{""start"":37,""end"":40,""text"":""红女巫"",""labels"":[""姓名""]}]",5.952,"观感比第一部差很多，稍显沉重，文戏不冗长却无趣。奥创是今年看过的最萌反派。红女巫美到让人出戏，新任春梦对象。xx和xx感情戏全都是bullshit。","2024-02-13T06:05:35.780142Z"
52,"1","2024-02-13T06:05:45.066076Z",52,"[{""start"":101,""end"":103,""text"":""奥创"",""labels"":[""姓名""]}]",8.894,"画风跟第一部不太一样的承前启后之作，自带脑补虐文属性，一想到未来为内战的铺垫的梗就有点酸爽。结尾大决战脑海中不断联想到复联春运图。奥创最后毁灭世界怎么用的是老万的手法，还有那谁我就不说了哎。队长车顶手撕奥创近身戏帅！！","2024-02-13T06:05:45.066076Z"
53,"1","2024-02-13T06:05:49.300794Z",53,"",3.907,"忘标了。。。对新男主的下场。。。很怨念。。。令想说，某和某的狗血恋情，真是够了。不过依然还算过瘾，激战场面眼花缭乱。现在的反派都流行卖萌流行搞哲学，太可怕了。","2024-02-13T06:05:49.300794Z"
54,"1","2024-02-13T06:05:56.187526Z",54,"[{""start"":31,""end"":33,""text"":""奥创"",""labels"":[""姓名""]}]",6.517,"观影过程中，耳边一直有一种突突突突突的声音，我还感慨电影为了让奥创给观众带来紧张感，声音上真是下了功夫。后来才发现是楼下正在装修。","2024-02-13T06:05:56.187526Z"
55,"1","2024-02-13T06:06:07.456457Z",55,"",10.895,"跟第一部很不一样，叙事加强了不少，整个基调都更沉重黑暗，幽默和燃点也减少了，趣味性更是大减。总的来说整体并无惊喜，亮点也不多，但尾灯总算是完成了这个不可能的任务。相比较第一部刷了很多遍，这部一遍就够了。","2024-02-13T06:06:07.456457Z"
56,"1","2024-02-13T06:06:09.228175Z",56,"",1.45,"呵呵","2024-02-13T06:06:09.228175Z"
57,"1","2024-02-13T06:06:27.891877Z",57,"[{""start"":94,""end"":98,""text"":""美国队长"",""labels"":[""姓名""]}]",18.337,"机甲之战超超好看，比变形金刚强；人，神，变异人，人工智能互殴，强强强强；每一小段末句都是槽或者笑点，应该死了不少编剧；Jane不来客串，雷神没露，扣分；女神配怪兽，fair enough；美国队长我最喜欢他的盾，大概因为紫龙；难得人物多次发表演讲还不死；最后，找到了下半年新发型，开心！","2024-02-13T06:06:27.891877Z"
58,"1","2024-02-13T06:06:29.840874Z",58,"",1.607,"超长版运动产品广告","2024-02-13T06:06:29.840874Z"
59,"1","2024-02-13T06:06:39.947902Z",59,"[{""start"":73,""end"":77,""text"":""猩红女巫"",""labels"":[""姓名""]},{""start"":78,""end"":80,""text"":""快银"",""labels"":[""姓名""]}]",9.777,"赶上第一波看好开心！大乱斗超好评！！！总之笑料和精彩程度都不减！所有的BG线都让人尴尬到内心崩溃。寡姐和Hulk在一起时，简直就是是超级宠物教练。猩红女巫和快银也都是萌萌萌！我有好多嘈想吐，但我不能剧透。麻蛋！","2024-02-13T06:06:39.947902Z"
60,"1","2024-02-13T06:06:42.111816Z",60,"",1.768,"Shi一样的剧情啊","2024-02-13T06:06:42.111816Z"
61,"1","2024-02-13T06:06:44.628645Z",61,"",2.167,"3 hours of my life that I'll never get back","2024-02-13T06:06:44.628645Z"
62,"1","2024-02-13T06:06:54.454248Z",62,"[{""start"":80,""end"":83,""text"":""黑寡妇"",""labels"":[""姓名""]}]",9.475,"承认这货很烂很难吗？混乱的节奏，人人都可能冒出来即兴插一腿，糟糕的3D也是毫无必要，就连特效大场面都没有什么令人惊艳的地方，其实这些都不重要了，我只想知道一点，黑寡妇下一部的时候会跟哪位队友搞暧昧？这种“白痴专供”片子如今算是彻底找到自己的死忠了，漫威可以继续一招鲜吃遍天了。★★","2024-02-13T06:06:54.454248Z"
63,"1","2024-02-13T06:07:01.340979Z",63,"[{""start"":110,""end"":112,""text"":""锤哥"",""labels"":[""姓名""]}]",6.516,"""啊啊啊啊啊啊啊啊啊啊啊啊啊！我真的很久没有关心复联了（昨晚还搞错时间买了票结果没去……）但是就这样看一遍，几年前那种立即想二刷的状态又回来了。""""Together""""，一直都是这个系列戳中我的地方。Vision好赞……锤哥的西装好帅……（大部分观众都留着等第二个彩蛋，结果只有一个……_(:з」∠)_""","2024-02-13T06:07:01.340979Z"
64,"1","2024-02-13T06:07:09.396108Z",64,"",7.707,"只有一颗彩蛋必须降一星。外加漫威的编剧是有心无力了吧。复仇者联盟只能永远着手与团队的和与不和。这种东西重复到第二次就是隔了三年，还是心有余而力不足吧。只好来三个新成员，但是认真地，有必要加一条家庭线么？妇联以后也是要走赛车帮的，we are familly 路线？？？","2024-02-13T06:07:09.396108Z"
65,"1","2024-02-13T06:07:14.586875Z",65,"[{""start"":4,""end"":6,""text"":""基神"",""labels"":[""姓名""]}]",4.82,"第一部有基神，好看！第二部没有基神，不好看！所以，基神=好看 ← 盖章确定 ← 逻辑满分√√√","2024-02-13T06:07:14.586875Z"
66,"1","2024-02-13T06:07:17.962006Z",66,"",2.97,"通篇洋溢着「我鸡巴大我先说」的直男气息，但紧身衣又出卖了它","2024-02-13T06:07:17.962006Z"
67,"1","2024-02-13T06:07:20.261876Z",67,"",1.887,"钢铁流星拳拳拳拳拳拳","2024-02-13T06:07:20.261876Z"
68,"1","2024-02-13T06:07:28.195401Z",68,"",7.576,"【C+】前1/3文戏烂到爆，剧情只剩下程式化的故事推进，感觉看了一集美剧。中间1/3无聊到爆，刚想这集大概是完全放弃人物刻画了？导演刷拉拉甩我一脸的家庭戏，邻座被感动的昏睡过去十五分钟。最后1/3勉强挽回些水准，但思辨依旧肤浅，人机交互进化探讨早在机械公敌玩儿腻了好吗？要不是特效，就给两星","2024-02-13T06:07:28.195401Z"
69,"1","2024-02-13T06:07:30.427987Z",69,"",1.872,"算是很普通的超人片子了，两星分别是scar和maximoff twins哒","2024-02-13T06:07:30.427987Z"
70,"1","2024-02-13T06:07:41.453628Z",70,"",10.655,"与第一集不同，承上启下，阴郁严肃，但也不会不好看啊，除非本来就不喜欢漫威电影。场面更加宏大，单打与团战又到了炫技的时刻，镜头感超赞。故事平铺但很紧凑，冷笑话依然不少，大量彩蛋是粉丝的菜，结尾新复联成立那一刻燃爆。不足之处在于几大新角色没有展开，感情戏有些生硬，另国内翻译不咋地","2024-02-13T06:07:41.453628Z"
71,"1","2024-02-13T06:07:45.247285Z",71,"",3.433,"倒退回到卡通片一樣為打而打的特效畫面... Ultron其實挺幽默的，是James Spader的功勞。看到Julie Delpy和Vision小激動了一下，看到Cap在派對上想起Bucky心塞了（不止）一下，看到Quicksilver Scarlet Witch什麼什麼哭了一下... And Idris Elba is a liar! >:(","2024-02-13T06:07:45.247285Z"
72,"1","2024-02-13T06:07:51.514134Z",72,"[{""start"":14,""end"":16,""text"":""奥创"",""labels"":[""姓名""]}]",5.903,"看毕，我激动地对友人说，等等奥创要来毁灭台北怎么办厚，她拍了拍我肩膀，没事，反正你买了两份旅行保险，惹......","2024-02-13T06:07:51.514134Z"
73,"1","2024-02-13T06:07:57.310898Z",73,"",5.402,"好莱坞造梦境界依旧。值得表扬的是开头第一个镜头，其镜头运动设计的惊险流畅，大量低角度和超级特写的交代让人生理迅速发生反应，几乎马上进入情节。（那个慢速有点傻可是是给雷神的好吧）故事模式还是一样，反正就在打斗和逗比或者发展感情这两种模式中切换，非常适合不带大脑地去电影院魂离天外。","2024-02-13T06:07:57.310898Z"
74,"1","2024-02-13T06:07:59.701317Z",74,"",2.061,"能不能痛痛快快地打，别有一搭没一搭地来感情戏。","2024-02-13T06:07:59.701317Z"
75,"1","2024-02-13T06:08:18.241231Z",75,"[{""start"":31,""end"":33,""text"":""奥创"",""labels"":[""姓名""]},{""start"":62,""end"":64,""text"":""幻视"",""labels"":[""姓名""]},{""start"":93,""end"":95,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":96,""end"":99,""text"":""绿巨人"",""labels"":[""姓名""]}]",18.175,"对比1来说，战斗场面多了很多，但没有一幕燃到我，台词也非常弱，奥创就是一个有daddy issue的中二病少年，成不了气候，幻视就这样默默的出现默默的命名，雷声大雨点小，全片最好看的还是寡姐和绿巨人的暧昧，俩人演技太好，每个调情互动都很高级，眼神交流太有质感（5.8媒体首映）","2024-02-13T06:08:18.241231Z"
76,"1","2024-02-13T06:08:25.475386Z",76,"",6.88,"非常失望，剧本完全敷衍了事，主线剧情没突破大家可以理解，可所有的人物都缺乏动机，正邪之间、妇联内部都没什么火花。团结-分裂-团结的三段式虽然老套但其实也可以利用积攒下来的形象魅力搞出意思，但剧本写得非常肤浅、平面。场面上调度混乱呆板，满屏的铁甲审美疲劳。只有笑点算得上差强人意。","2024-02-13T06:08:25.475386Z"
77,"1","2024-02-13T06:08:27.145712Z",77,"",1.271,"好山好水好无聊。。。。","2024-02-13T06:08:27.145712Z"
78,"1","2024-02-13T06:08:36.235787Z",78,"[{""start"":36,""end"":38,""text"":""奥创"",""labels"":[""姓名""]}]",8.698,"三星半吧，没多好看，故事比较简单，人物比较单薄，但是海量特效还是很爽的，奥创身材肥肠好，腰肥肠肥肠细：）","2024-02-13T06:08:36.235787Z"
