"annotation_id","annotator","created_at","id","lead_time","sentiment","text_a","updated_at"
63,"1","2024-08-25T14:46:33.129897Z",36,2.199,"其他","钢铁流星拳拳拳拳拳拳","2024-08-25T14:46:33.129897Z"

64,"1","2024-08-25T14:46:35.030863Z",37,1.709,"差评","谁再喊我看这种电影我和谁急！实在是接受无能。。。","2024-08-25T14:46:35.030863Z"

65,"1","2024-08-25T14:46:36.663930Z",38,1.435,"差评","看腻了这些打来打去的烂片","2024-08-25T14:46:36.663930Z"

66,"1","2024-08-25T14:46:38.092743Z",39,1.241,"差评","劇情弱，純賣特技","2024-08-25T14:46:38.092743Z"

67,"1","2024-08-25T14:46:41.171549Z",40,2.9,"差评","漫威粉勿喷，真感觉比第一部差了些火候。没想到奥创竟然这么弱，出来失望之极。。。","2024-08-25T14:46:41.171549Z"

68,"1","2024-08-25T14:47:02.526991Z",41,21.164,"其他","一碗好吃的甜口的八宝粥，需要将江米、红豆、大枣等用文火慢慢熬煮。它可以根据个人喜好放很多的谷类也好豆类也罢，而且也未必非得是八样。但往锅里放火腿、贝壳、甚至臭豆腐…那就不再叫八宝粥而叫杂烩。只是我们喜欢的是这个牌子的八宝粥。","2024-08-25T14:47:02.526991Z"

69,"1","2024-08-25T14:47:04.360019Z",42,1.62,"差评","请漫威华丽地滚出电影界！每年都炮制出几部毫无营养千篇一律的流水线电影骗票房，刺激各种投机并扼杀原创电影的热情，简直就是电影业的祸害和毒瘤！","2024-08-25T14:47:04.360019Z"

70,"1","2024-08-25T14:47:05.897220Z",43,1.351,"差评","承认这货很烂很难吗？混乱的节奏，人人都可能冒出来即兴插一腿，糟糕的3D也是毫无必要，就连特效大场面都没有什么令人惊艳的地方，其实这些都不重要了，我只想知道一点，黑寡妇下一部的时候会跟哪位队友搞暧昧？这种“白痴专供”片子如今算是彻底找到自己的死忠了，漫威可以继续一招鲜吃遍天了。★★","2024-08-25T14:47:05.897220Z"

71,"1","2024-08-25T14:47:07.759430Z",44,1.651,"差评","2015年度最失望作品。以为面面俱到，实则画蛇添足；以为主题深刻，实则老调重弹；以为推陈出新，实则俗不可耐；以为场面很high，实则high劲不足。气！上一集的趣味全无，这集的笑点明显刻意到心虚。全片没有任何片段给我有紧张激动的时候，太弱了，跟奥创一样。","2024-08-25T14:47:07.759430Z"

72,"1","2024-08-25T14:48:40.734233Z",45,92.756,"好评","4/22看的台灣搶映。有韩国元素，为啥分分钟觉得片子里有个都敏俊呢…剪辑有点混，配乐不错啦！影城还有贴心的彩蛋提醒。片尾是說阿凡達也加入了嗎。沒有GP不幸福。那個人跟超人有聯繫嗎？看的日新威秀IMAX 3D，17：25都是满场","2024-08-25T14:48:40.734233Z"

73,"1","2024-08-25T14:48:49.278752Z",46,8.361,"其他","《铁人2》中勾引钢铁侠，《妇联1》中勾引鹰眼，《美队2》中勾引美国队长，在《妇联2》中终于……跟绿巨人表白了，黑寡妇用实际行动告诉了我们什么叫忠贞不二；而且为了治疗不孕不育连作战武器都变成了两支验孕棒(坚决相信快银没有死，后面还得回来)","2024-08-25T14:48:49.278752Z"

74,"1","2024-08-25T14:48:55.565160Z",47,6.087,"好评","与第一集不同，承上启下，阴郁严肃，但也不会不好看啊，除非本来就不喜欢漫威电影。场面更加宏大，单打与团战又到了炫技的时刻，镜头感超赞。故事平铺但很紧凑，冷笑话依然不少，大量彩蛋是粉丝的菜，结尾新复联成立那一刻燃爆。不足之处在于几大新角色没有展开，感情戏有些生硬，另国内翻译不咋地","2024-08-25T14:48:55.565160Z"

75,"1","2024-08-25T14:49:05.801353Z",48,10.034,"差评","粉丝向电影+全明星阵容，还是三部曲里的第1.5部续集，直接导致细节梗太多，每个角色都要照顾以至于顾不上故事节奏，叙事还要照顾到承上启下，结果整体都有点怪怪的。","2024-08-25T14:49:05.801353Z"

76,"1","2024-08-25T14:49:10.363496Z",49,4.369,"其他","观影过程中，耳边一直有一种突突突突突的声音，我还感慨电影为了让奥创给观众带来紧张感，声音上真是下了功夫。后来才发现是楼下正在装修。","2024-08-25T14:49:10.363496Z"

77,"1","2024-08-25T14:49:12.970985Z",50,2.392,"好评","我。。。居然。。。没看懂。。。只觉得三个光束打奥创好燃，以及快银也很顺眼而且口音好喜感","2024-08-25T14:49:12.970985Z"

78,"1","2024-08-25T14:49:21.174316Z",51,8.003,"好评","超愉悦以及超满足。在历经了第一阶段比漫画更普世的设定融合之后，发展到#AoU#居然出现了不少传统科幻的哲思。乔斯尾灯的诉求一目了然：这真的不仅仅只是超级英雄们的情景喜剧而已。so，漫威有这样的良心之人，是漫威的荣幸。（默默给DC烧纸）","2024-08-25T14:49:21.174316Z"

79,"1","2024-08-25T14:49:44.300047Z",52,22.904,"其他","相比第一部：多了惊悚、爱情、打戏，少了幽默、剧情、美国。看到结尾最在意的事情果然还是……下一部复联可能没有钢铁侠、雷神和绿巨人了？我靠，那我还看谁啊？！强烈要求把Star Lord、Ant Man、Spider Man都加进来作为补偿！！！（“观众可能看腻了我们炸美国城市。” “那我们炸个东欧城市吧。”）","2024-08-25T14:49:44.300047Z"

80,"1","2024-08-25T14:55:28.953123Z",53,344.156,"好评","真的是全程无尿点。漫威在拍了这么多系列片之后再拿捏妇联2真是得心应手 笑点爆发点齐飞 拿锤子的哽太伤人 233 唯一遗憾 没洛基","2024-08-25T14:55:28.953123Z"

81,"1","2024-08-25T14:55:36.170647Z",54,7.047,"差评","跟笑点满满，热血高能的前作相比，这一部平庸太多。讲述超级英雄的黑暗面却也没有进行深挖，主角们都透露出一丝无力感，反倒是猩红女和快银成为最大看点，鹰眼的家庭戏和黑寡妇绿巨人的爱情戏也让人提不起精神，打斗方面也远远不如《美队2》的凌厉剪辑好看。","2024-08-25T14:55:36.170647Z"

82,"1","2024-08-25T14:55:41.837957Z",55,5.495,"差评","超级英雄们怎么就那么没事干啊，没有坏人打了就自己造一个出来，打完了还是英雄，这他妈不是钓鱼执法吗……","2024-08-25T14:55:41.837957Z"

83,"1","2024-08-25T14:55:48.699271Z",56,6.686,"差评","群口相声。始终处于“亚高潮”状态。说平淡也不算平淡，打戏人太多又嗨不到沸点。提神全靠铁罐。就是——打打打，斗嘴，斗嘴，段子，打打打，斗嘴…【拆寡鹰，硬凑绿寡 0。0 ||| 可绿寡这么生硬，好意思吗？","2024-08-25T14:55:48.699271Z"

84,"1","2024-08-25T14:55:50.508952Z",57,1.627,"差评","观感比第一部差很多，稍显沉重，文戏不冗长却无趣。奥创是今年看过的最萌反派。红女巫美到让人出戏，新任春梦对象。xx和xx感情戏全都是bullshit。","2024-08-25T14:55:50.508952Z"

85,"1","2024-08-25T14:55:54.807421Z",58,4.116,"差评","对比1来说，战斗场面多了很多，但没有一幕燃到我，台词也非常弱，奥创就是一个有daddy issue的中二病少年，成不了气候，幻视就这样默默的出现默默的命名，雷声大雨点小，全片最好看的还是寡姐和绿巨人的暧昧，俩人演技太好，每个调情互动都很高级，眼神交流太有质感（5.8媒体首映）","2024-08-25T14:55:54.807421Z"

86,"1","2024-08-25T14:56:01.826678Z",59,6.849,"好评","好莱坞造梦境界依旧。值得表扬的是开头第一个镜头，其镜头运动设计的惊险流畅，大量低角度和超级特写的交代让人生理迅速发生反应，几乎马上进入情节。（那个慢速有点傻可是是给雷神的好吧）故事模式还是一样，反正就在打斗和逗比或者发展感情这两种模式中切换，非常适合不带大脑地去电影院魂离天外。","2024-08-25T14:56:01.826678Z"

87,"1","2024-08-25T14:56:05.267787Z",60,3.261,"差评","梗概：不作死就不会死。最让我震惊的不是寡姐和绿巨人站了CP、鹰眼早有家庭（之前的鹰眼寡姐CP都被这部编剧吃了吧），而是快银居然就那么领了便当（手动再见）；红女巫发大招是真帅；有些joke确有笑果，比如thor的hammer joke，但有些刻意抖机灵的痕迹太明显反而就呵呵了；不过打戏还是颇有趣味","2024-08-25T14:56:05.267787Z"

88,"1","2024-08-25T14:56:10.188718Z",61,4.747,"其他","“鹰眼作为本片的第一男主”有理有据。有感情戏，有主公技，有不止一个妹，有感化傻逼的男主式语录，有狂立flag而不倒的金手指，有死基友不死本大爷的神功护体。。他合同是不是结束了？？？复联2——\鹰眼巨巨凯瑞me/    还我快银！！！","2024-08-25T14:56:10.188718Z"

89,"1","2024-08-25T14:56:12.271565Z",62,1.894,"差评","挺没意思的，特别疲劳，而且3d几乎没效果，不建议去电影院烧钱了。看来只有Xmen才能拯救Avengers系列了","2024-08-25T14:56:12.271565Z"

90,"1","2024-08-25T14:56:15.907965Z",63,3.458,"好评","Together. Like an old man said, together. Worthy!  这片果然“完完全全是Joss”。笑点密集，各种宅内涵。唯一遗憾为了片长的删减。好想高唱复联动画EMH主题曲Forever fight as one，那歌词完全对应这部电影。 【Joss Whedon is worthy!Joss Whedon have got no string!】","2024-08-25T14:56:15.907965Z"

91,"1","2024-08-25T14:56:21.940977Z",64,5.867,"差评","剧情不如第一集好玩了，全靠密集笑点在提神。僧多粥少的直接后果就是每部寡姐都要换着队友谈恋爱，这特么比打斗还辛苦啊，真心求放过～～～（结尾彩蛋还以为是洛基呢，结果我呸！）","2024-08-25T14:56:21.940977Z"

92,"1","2024-08-25T14:56:29.506060Z",65,7.39,"差评","忘标了。。。对新男主的下场。。。很怨念。。。令想说，某和某的狗血恋情，真是够了。不过依然还算过瘾，激战场面眼花缭乱。现在的反派都流行卖萌流行搞哲学，太可怕了。","2024-08-25T14:56:29.506060Z"

93,"1","2024-08-25T14:56:33.093075Z",66,3.418,"差评","第一部有基神，好看！第二部没有基神，不好看！所以，基神=好看 ← 盖章确定 ← 逻辑满分√√√","2024-08-25T14:56:33.093075Z"

94,"1","2024-08-25T14:56:46.566314Z",67,13.293,"好评","画风跟第一部不太一样的承前启后之作，自带脑补虐文属性，一想到未来为内战的铺垫的梗就有点酸爽。结尾大决战脑海中不断联想到复联春运图。奥创最后毁灭世界怎么用的是老万的手法，还有那谁我就不说了哎。队长车顶手撕奥创近身戏帅！！","2024-08-25T14:56:46.566314Z"

95,"1","2024-08-25T14:56:52.319701Z",68,5.577,"好评","啊啊啊啊啊啊啊啊啊啊啊啊啊！我真的很久没有关心复联了（昨晚还搞错时间买了票结果没去……）但是就这样看一遍，几年前那种立即想二刷的状态又回来了。""Together""，一直都是这个系列戳中我的地方。Vision好赞……锤哥的西装好帅……（大部分观众都留着等第二个彩蛋，结果只有一个……_(:з」∠)_","2024-08-25T14:56:52.319701Z"

96,"1","2024-08-25T14:57:02.622590Z",69,10.138,"好评","“一个没有黑暗面的人不值得信任。” 第二部剥去冗长的铺垫，开场即高潮、一直到结束，会有人觉得只剩动作特技，不过我还蛮吃这一套。联盟阵营“葫芦兄弟、八仙过海”式各显神通依然燃爆；“我有更好的理由不再生气”绿巨黑寡激萌的感情支线；快银兄妹的同情牌…4.27@台北日新威秀影城","2024-08-25T14:57:02.622590Z"

97,"1","2024-08-25T14:57:14.529040Z",70,11.706,"差评","故事比第一部沉重，但这并不代表它深刻，基本上是非常杂乱且肤浅，原本不错的娱乐性也丢了。人物太多线索太多，每一处都像挠痒痒一样一笔带过，每一处都没挠痛快，自然观影体验也是乱七八糟，没有一处让人真正走心的。漫威宇宙拍到这基本上很难再给人带来惊喜了，严重审美疲劳。","2024-08-25T14:57:14.529040Z"

98,"1","2024-08-25T14:57:18.503664Z",71,3.806,"差评","胸大无脑式的超级英雄无基腐与逗逼救场显然乏味许多，观众要开始厌烦漫威大法了，没啥创意的打斗与爆炸除了带来视觉疲劳还有什么？镜头语言为零，像电视剧，不如《美队2》的手持有感觉。尾灯大神要想想新招了，不然下坡路就在眼前...重点：你们在第几分第几秒见到我女神了？？麻烦请告知！感觉被骗了。","2024-08-25T14:57:18.503664Z"

99,"1","2024-08-25T14:57:33.759597Z",72,15.06,"差评","5分。虽然调低了期望，仍难免失望，甚至连视觉奇观都没啥新鲜感了。故事很简单，但讲得太凌乱，人物技能倒是继续酷炫，但基本都扁平。强调他们各自的烦恼与阴影，略刻意略重了些。反正你们想干啥就干啥，我继续默默地看你们High喽～[doge]PS：心疼谷大……","2024-08-25T14:57:33.759597Z"

100,"1","2024-08-25T14:57:36.072088Z",73,2.123,"差评","说实话其实剧情就那样吧，非漫威粉看着可能有的地方会get不到G点吧。（其实漫威卖的不是剧情而是人物和世界观呀，漫威宇宙棒棒哒）但对于漫威粉来说真是全程高能+IMAX燃爆啊！#漫威大法好#","2024-08-25T14:57:36.072088Z"

101,"1","2024-08-25T14:57:38.413218Z",74,2.161,"好评","还是很过瘾的，差不多是从头打到尾。中间的绿巨人VS反浩克钢铁侠以及结尾大战都非常刺激！IMAX还是最好的选择。不过总体感觉不如复联第一部，文戏有点乱，角色太多缺乏重点用力平均。奥创显得不够牛X，有气场没能耐，不像能灭复联的。三星半。我认为《美国队长3：内战》会比复联2好看！","2024-08-25T14:57:38.413218Z"

102,"1","2024-08-25T14:57:41.967336Z",75,3.388,"好评","机甲之战超超好看，比变形金刚强；人，神，变异人，人工智能互殴，强强强强；每一小段末句都是槽或者笑点，应该死了不少编剧；Jane不来客串，雷神没露，扣分；女神配怪兽，fair enough；美国队长我最喜欢他的盾，大概因为紫龙；难得人物多次发表演讲还不死；最后，找到了下半年新发型，开心！","2024-08-25T14:57:41.967336Z"

103,"1","2024-08-25T14:57:47.429001Z",76,5.286,"好评","特效场面完胜《逆转未来》，近八成的狂轰乱炸，只是一些剪辑节奏的拿捏不够，导致全片文武戏块略微失衡，没有第一部那么酣畅。黑寡妇和绿巨人的暗生的情愫是最闪瞎眼的桥段，二人怎么看都不搭噶。猩红快银幻视的加入虽然更为激昂热血，但也有一种老牌英雄退位让贤的悲壮感。一出硝烟弥漫的嘉年华会","2024-08-25T14:57:47.429001Z"

104,"1","2024-08-25T14:57:48.936728Z",77,1.327,"差评","非常失望，剧本完全敷衍了事，主线剧情没突破大家可以理解，可所有的人物都缺乏动机，正邪之间、妇联内部都没什么火花。团结-分裂-团结的三段式虽然老套但其实也可以利用积攒下来的形象魅力搞出意思，但剧本写得非常肤浅、平面。场面上调度混乱呆板，满屏的铁甲审美疲劳。只有笑点算得上差强人意。","2024-08-25T14:57:48.936728Z"

105,"1","2024-08-25T14:57:51.344735Z",78,2.243,"好评","我锤帅呆了！！！我队也是本命！！！还蛮想跟幻视来一发！！！捂脸···btw，奥创是个大傻逼·，谁要用陨石撞地球来毁灭人类啊，有那个功夫多复制几个自己啊···而且快银不应该是万磁王的儿子么，而且还挂了···平行宇宙大法？","2024-08-25T14:57:51.344735Z"

106,"1","2024-08-25T14:57:56.827511Z",79,5.305,"差评","跟第一部很不一样，叙事加强了不少，整个基调都更沉重黑暗，幽默和燃点也减少了，趣味性更是大减。总的来说整体并无惊喜，亮点也不多，但尾灯总算是完成了这个不可能的任务。相比较第一部刷了很多遍，这部一遍就够了。","2024-08-25T14:57:56.827511Z"

107,"1","2024-08-25T14:58:00.647766Z",80,3.654,"差评","漫威编剧实在是脑洞太大了。。。而且没有loki。。。","2024-08-25T14:58:00.647766Z"

108,"1","2024-08-25T14:58:06.334903Z",81,5.512,"差评","总体来说没有达到第一部想让人立马二刷的体验，搞笑和燃度都有就是不够劲，应了续集电影的疲软定律。出场人物多到让人眼花撩乱，不过依然个个鲜明，Jarvis和Vison合体很惊艳，双胞胎戏份不多，widow和浩克的感情戏是最柔软的时刻，奥创存在感略低，妇联内斗戏不够激烈，队长脏话雷神锤子笑话贯穿始终。","2024-08-25T14:58:06.334903Z"

109,"1","2024-08-25T14:58:10.096669Z",82,3.579,"差评","不說人話染了一身抖包袱的惡習 劇情也就那樣 因為一到文戲我就撐不住想睡 睡了八遍再看發就不知道他們在打什麼了……也就是說不是迷妹真的沒法看這種首映 片尾还有人民英雄纪念雕塑 當然了特效啥的是很牛逼 到咣咣咣開砸就能醒 等二刷","2024-08-25T14:58:10.096669Z"

110,"1","2024-08-25T14:58:13.146621Z",83,2.88,"差评","三星半吧，没多好看，故事比较简单，人物比较单薄，但是海量特效还是很爽的，奥创身材肥肠好，腰肥肠肥肠细：）","2024-08-25T14:58:13.146621Z"

111,"1","2024-08-25T14:58:18.932890Z",84,5.598,"其他","沦落成传统的打斗片套路，小打——对白——小打——对白……最后大打一番结束。观察下来，最厉害的还是雷神啦，因为他既会飞又打不死。其他人要么是打不死但不会飞（绿巨人），要么是会飞但可能会被打死（钢铁侠），要么是既不会飞，又可能会被打死。","2024-08-25T14:58:18.932890Z"

112,"1","2024-08-25T14:58:27.768940Z",85,8.676,"好评","复联基本上是在往情景喜剧的路线上拍了，每个人固定性格，每集一个特定情景来展开性格；本集的亮点是打斗的画面，画面的构图有很强的漫画感，时不时有四五个人出现在同一镜头中，同一运动方向，或分散四五个运动方向，甚至在此时会有一个慢动作，造成漫画中占一整页的大画面的感觉，还蛮漂亮。","2024-08-25T14:58:27.768940Z"

113,"1","2024-08-25T14:58:31.772532Z",86,3.833,"其他","倒退回到卡通片一樣為打而打的特效畫面... Ultron其實挺幽默的，是James Spader的功勞。看到Julie Delpy和Vision小激動了一下，看到Cap在派對上想起Bucky心塞了（不止）一下，看到Quicksilver Scarlet Witch什麼什麼哭了一下... And Idris Elba is a liar! >:(","2024-08-25T14:58:31.772532Z"

114,"1","2024-08-25T14:58:40.146394Z",87,8.199,"差评","硬要凹出剧情内涵来的超级英雄电影让人醉。这一集的男一是鹰眼吧。美队和雷神都被塑造成了二傻子。钢铁侠依旧是那个让人熟悉的混账。绿巨人根本没有找到自我。黑寡妇倒是爆了自己的历史。喜欢新出现的红女巫。最让人感慨的是彩蛋里灭霸无奈的脸。#影评写这么碎，对自己也是不满意的#没有LOKI差评！","2024-08-25T14:58:40.146394Z"

115,"1","2024-08-25T14:58:45.025315Z",88,4.703,"好评","一刷归来一本满足。PB真的全队最帅，刚出场时苏到不行！JS演得最活，感觉真人就在眼前，一把声音就把全场的气氛给震摄了！队长和锤哥的配合很惊艳！Olsen妹子超超超灵，女巫塑造得好。Joss给剧本注入了很多传统科幻的东西，笑点和宅梗都非常多！现在最期待的就是导演加长剪辑了！鹰眼对女巫的话有看哭","2024-08-25T14:58:45.025315Z"

116,"1","2024-08-25T14:58:47.220284Z",89,2.014,"好评","属于超级英雄的春晚，角色如走马灯一样出场。眼花缭乱的同时却没办法给人留下太深印象。这部内容实在太多了，这么多角色，各有黑暗历史，又为之后铺垫，弄得每个角色都很单薄。好在动作场面多，开场长镜头打斗还不错。看过也就看过了，没什么回味。几乎没有一场戏会让人觉得很嗨，很热血。","2024-08-25T14:58:47.220284Z"

117,"1","2024-08-25T14:58:53.844568Z",90,6.457,"好评","上映第一天就去刷了 总之就是一个字爽 打斗比第一部更多更精彩 而且异常喜欢这部的黑暗基调 不过奥创比想象中的要弱多了啊 坐等下一步灭霸现身把妇联全灭了 另外黑寡妇和绿胖这一对又是什么鬼（猩红女伊丽莎白好漂亮啊）说说差的地方 人物线太杂乱  看完以后基本就忘了到底讲了什么  只记得打打打。","2024-08-25T14:58:53.844568Z"

118,"1","2024-08-25T14:58:55.535918Z",91,1.52,"差评","剧情看得人昏昏欲睡，打戏就钢铁侠对绿巨人那场好看。最后雕塑版的黑寡妇神似刘胡兰。","2024-08-25T14:58:55.535918Z"

119,"1","2024-08-25T14:58:58.735424Z",92,3.019,"其他","结局就差寡姐握着绿巨人的手说：”我的意中人是一个盖世英雄，有一天他会turn green来救我，我猜中了这开头，没猜中这结局......""","2024-08-25T14:58:58.735424Z"

120,"1","2024-08-25T14:59:01.889050Z",93,2.973,"差评","刘大勇你好！字幕翻译太烂了，节奏不连贯，没看过前作的观众肯定晕菜。场面很炫酷，故事性较差，各种英雄脑抽式掐架，失望！","2024-08-25T14:59:01.889050Z"

121,"1","2024-08-25T14:59:06.359128Z",94,4.295,"好评","赶上第一波看好开心！大乱斗超好评！！！总之笑料和精彩程度都不减！所有的BG线都让人尴尬到内心崩溃。寡姐和Hulk在一起时，简直就是是超级宠物教练。猩红女巫和快银也都是萌萌萌！我有好多嘈想吐，但我不能剧透。麻蛋！","2024-08-25T14:59:06.359128Z"

122,"1","2024-08-25T14:59:13.737331Z",95,7.195,"差评","全程挥之不去美队的胸和banner的胸……毛。人物太多感情的处理不够细腻是一定的啦。凭良心讲，就看这电影里的剧情，再怎样黑寡也不可能算是slut，采访里面CE和JR简直糟糕。对看超级英雄系列片的热情开始减弱了，虽然俺看这种片子丝毫无惧于剧透，还是想对某说，一句短评就剧透的，有什么病啊！","2024-08-25T14:59:13.737331Z"

123,"1","2024-08-25T14:59:18.261819Z",96,4.345,"差评","漫威第二阶最中庸的一集。承上启下之作，完全是内战和复联3的超长预告片，奥创明显是为续集强加进来的反派，引入生硬。基调并不沉重，笑点不减反增，节奏和群戏倒真弱了不少，尤其是中间鹰眼家那一大段文戏满满尿点。PS：按照寡姐一部钓一个的节奏，下回绝逼轮到跟基妹争男人了~（波特曼一边玩去！）","2024-08-25T14:59:18.261819Z"

124,"1","2024-08-25T14:59:40.158584Z",97,21.721,"好评","首映就冲去看了！作为漫威脑残粉当然咬紧牙关也要给5星但我必须承认我在开场前20分钟都没能入戏，熬过前20分钟就会渐入佳境（没入也别找我说了我脑残了！）本集冷笑话好多，彩蛋也浅显易懂，于是下一集我们应该会再见到银河护卫队了吧。最后，双胞胎姐姐好美腻！！","2024-08-25T14:59:40.158584Z"

125,"1","2024-08-25T14:59:44.887143Z",98,4.552,"差评","【C+】前1/3文戏烂到爆，剧情只剩下程式化的故事推进，感觉看了一集美剧。中间1/3无聊到爆，刚想这集大概是完全放弃人物刻画了？导演刷拉拉甩我一脸的家庭戏，邻座被感动的昏睡过去十五分钟。最后1/3勉强挽回些水准，但思辨依旧肤浅，人机交互进化探讨早在机械公敌玩儿腻了好吗？要不是特效，就给两星","2024-08-25T14:59:44.887143Z"

126,"1","2024-08-25T14:59:48.236684Z",99,3.178,"差评","只有一颗彩蛋必须降一星。外加漫威的编剧是有心无力了吧。复仇者联盟只能永远着手与团队的和与不和。这种东西重复到第二次就是隔了三年，还是心有余而力不足吧。只好来三个新成员，但是认真地，有必要加一条家庭线么？妇联以后也是要走赛车帮的，we are familly 路线？？？","2024-08-25T14:59:48.236684Z"

